"Step","00_ppo_12345_24576envs_none_none_1p_21_01_09h51m15s - successes/time","00_ppo_12345_24576envs_none_none_1p_21_01_09h51m15s - successes/time__MIN","00_ppo_12345_24576envs_none_none_1p_21_01_09h51m15s - successes/time__MAX","00_ppo_42_24576envs_none_none_1p_21_01_09h51m07s - successes/time","00_ppo_42_24576envs_none_none_1p_21_01_09h51m07s - successes/time__MIN","00_ppo_42_24576envs_none_none_1p_21_01_09h51m07s - successes/time__MAX","00_ppo_6789_24576envs_none_none_1p_21_01_09h43m04s - successes/time","00_ppo_6789_24576envs_none_none_1p_21_01_09h43m04s - successes/time__MIN","00_ppo_6789_24576envs_none_none_1p_21_01_09h43m04s - successes/time__MAX","00_ppo_98765_24576envs_none_none_1p_21_01_09h42m55s - successes/time","00_ppo_98765_24576envs_none_none_1p_21_01_09h42m55s - successes/time__MIN","00_ppo_98765_24576envs_none_none_1p_21_01_09h42m55s - successes/time__MAX","00_ppo_2023_24576envs_none_none_1p_21_01_09h42m50s - successes/time","00_ppo_2023_24576envs_none_none_1p_21_01_09h42m50s - successes/time__MIN","00_ppo_2023_24576envs_none_none_1p_21_01_09h42m50s - successes/time__MAX"
"32","0.0001220703125","0.0001220703125","0.0001220703125","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0"
"33","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0"
"34","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","",""
"35","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","","","","0","0","0"
"36","0.0001220703125","0.0001220703125","0.0001220703125","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0","0","0"
"37","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"38","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"39","","","","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"40","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0","0","0"
"41","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0"
"42","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","","",""
"43","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0","0","0"
"44","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0","","","","0","0","0"
"45","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0","","","","0","0","0"
"46","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","","",""
"47","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0","0","0"
"48","","","","","","","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"49","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"50","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0","0","0"
"51","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"52","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"53","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"54","0.0001220703125","0.0001220703125","0.0001220703125","","","","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"55","0.0001220703125","0.0001220703125","0.0001220703125","","","","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","","",""
"56","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0","","","","","",""
"57","0.0001220703125","0.0001220703125","0.0001220703125","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"58","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"59","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0","0","0","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"60","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.0001220703125","0.0001220703125","0.0001220703125","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"61","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"62","","","","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"63","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"64","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","","","","","",""
"65","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"66","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"67","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"68","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"69","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"70","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"71","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0001220703125","0.0001220703125","0.0001220703125","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"72","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"73","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"74","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"75","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"76","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"77","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"78","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"79","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"80","0","0","0","","","","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"81","0","0","0","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","",""
"82","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"83","0","0","0","","","","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"84","0","0","0","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"85","0","0","0","","","","","","","","","","","",""
"86","","","","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"87","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"88","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","",""
"89","","","","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"90","","","","","","","0","0","0","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","","",""
"91","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"92","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"93","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"94","","","","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"95","0","0","0","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","","",""
"96","0","0","0","0","0","0","0","0","0","0.0002848307485692203","0.0002848307485692203","0.0002848307485692203","","",""
"97","","","","","","","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"98","","","","0","0","0","0","0","0","0.0002848307485692203","0.0002848307485692203","0.0002848307485692203","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"99","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"100","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"101","","","","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"102","0","0","0","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"103","0","0","0","","","","","","","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"104","","","","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"105","0","0","0","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"106","0","0","0","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.000244140625","0.000244140625","0.000244140625","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"107","0","0","0","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.0002848307485692203","0.0002848307485692203","0.0002848307485692203","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"108","0","0","0","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.0003662109375","0.0003662109375","0.0003662109375","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627"
"109","","","","","","","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"110","","","","0","0","0","0.0001220703125","0.0001220703125","0.0001220703125","0.0002848307485692203","0.0002848307485692203","0.0002848307485692203","0.0001220703125","0.0001220703125","0.0001220703125"
"111","","","","","","","0.0001220703125","0.0001220703125","0.0001220703125","0.000244140625","0.000244140625","0.000244140625","0.0001220703125","0.0001220703125","0.0001220703125"
"112","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","","","","","","","0.0001220703125","0.0001220703125","0.0001220703125"
"113","","","","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","0.0001220703125","0.0001220703125","0.0001220703125"
"114","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.0003662109375","0.0003662109375","0.0003662109375","0.0001220703125","0.0001220703125","0.0001220703125"
"115","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","","","","","","","0.0001220703125","0.0001220703125","0.0001220703125"
"116","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.0001220703125","0.0001220703125","0.0001220703125"
"117","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0","0","0","","","","0.0006103515625","0.0006103515625","0.0006103515625","","",""
"118","0","0","0","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508"
"119","0","0","0","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508"
"120","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","","",""
"121","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.000732421875","0.000732421875","0.000732421875","","",""
"122","0","0","0","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.0001220703125","0.0001220703125","0.0001220703125"
"123","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.000732421875","0.000732421875","0.000732421875","0.0001220703125","0.0001220703125","0.0001220703125"
"124","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.000732421875","0.000732421875","0.000732421875","0.0001220703125","0.0001220703125","0.0001220703125"
"125","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0008544921875","0.0008544921875","0.0008544921875","","",""
"126","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0008544921875","0.0008544921875","0.0008544921875","0.0001220703125","0.0001220703125","0.0001220703125"
"127","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.0008951823110692203","0.0008951823110692203","0.0008951823110692203","0.0001220703125","0.0001220703125","0.0001220703125"
"128","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508","0.0010579427471384406","0.0010579427471384406","0.0010579427471384406","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"129","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0013427734375","0.0013427734375","0.0013427734375","","",""
"130","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.00146484375","0.00146484375","0.00146484375","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"131","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"132","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"133","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","",""
"134","","","","","","","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254"
"135","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0015869140625","0.0015869140625","0.0015869140625","0.0001220703125","0.0001220703125","0.0001220703125"
"136","0","0","0","","","","","","","0.0015869140625","0.0015869140625","0.0015869140625","","",""
"137","","","","","","","0.0001220703125","0.0001220703125","0.0001220703125","0.0018310546875","0.0018310546875","0.0018310546875","","",""
"138","","","","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.001953125","0.001953125","0.001953125","0.00016276042151730508","0.00016276042151730508","0.00016276042151730508"
"139","","","","","","","0.0001220703125","0.0001220703125","0.0001220703125","0.0019124349346384406","0.0019124349346384406","0.0019124349346384406","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"140","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","","","","0.0019938151817768812","0.0019938151817768812","0.0019938151817768812","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"141","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0020345053635537624","0.0020345053635537624","0.0020345053635537624","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"142","0","0","0","0.00004069010537932627","0.00004069010537932627","0.00004069010537932627","0.0001220703125","0.0001220703125","0.0001220703125","0.0020345053635537624","0.0020345053635537624","0.0020345053635537624","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"143","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.0021565756760537624","0.0021565756760537624","0.0021565756760537624","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"144","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"145","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","","",""
"146","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.002197265625","0.002197265625","0.002197265625","0.00020345053053461015","0.00020345053053461015","0.00020345053053461015"
"147","0","0","0","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","0.0020751953125","0.0020751953125","0.0020751953125","0.000244140625","0.000244140625","0.000244140625"
"148","","","","","","","0.00008138021075865254","0.00008138021075865254","0.00008138021075865254","","","","0.000244140625","0.000244140625","0.000244140625"
