"Step","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time__MIN","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time__MAX","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time__MIN","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time__MAX","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time__MIN","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time__MAX","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time__MIN","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time__MAX","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time__MIN","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time__MAX"
"28","0","0","0","0","0","0","","","","","","","0","0","0"
"29","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"30","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"33","0","0","0","","","","0","0","0","","","","0","0","0"
"34","0","0","0","","","","","","","0","0","0","0","0","0"
"35","","","","0","0","0","0","0","0","","","","0","0","0"
"36","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0","0","0","","",""
"37","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0"
"38","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0","0","0","0"
"39","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"40","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0","","",""
"41","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","0","0","0"
"42","","","","","","","0","0","0","0","0","0","0","0","0"
"43","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0","0","0"
"44","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","","",""
"45","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"46","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0","0","0","0"
"47","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"48","","","","","","","","","","","","","0","0","0"
"49","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0","0","0"
"50","0","0","0","","","","0","0","0","","","","0","0","0"
"51","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"52","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","","","","0","0","0"
"53","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","","",""
"54","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0"
"55","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","","","","","",""
"56","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"57","0","0","0","","","","0","0","0","","","","0","0","0"
"58","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"59","0","0","0","0","0","0","","","","","","","0","0","0"
"60","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","0","","","","0","0","0","","","","0","0","0"
"64","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"65","0","0","0","","","","0","0","0","0","0","0","","",""
"67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","","","","0","0","0","0","0","0","0","0","0","","",""
"69","0","0","0","0","0","0","","","","0","0","0","","",""
"70","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","","","","0","0","0","0","0","0","0","0","0","","",""
"73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","0","0","0","0","0","0","","","","0","0","0","","",""
"75","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"76","0","0","0","","","","0","0","0","","","","0","0","0"
"77","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"78","0","0","0","0","0","0","0","0","0","","","","","",""
"79","","","","","","","0","0","0","0","0","0","0","0","0"
"80","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"81","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"82","","","","","","","0","0","0","0","0","0","0","0","0"
"83","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"84","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"85","0","0","0","","","","0","0","0","","","","","",""
"86","","","","0","0","0","0","0","0","0","0","0","","",""
"87","0","0","0","0","0","0","","","","","","","0","0","0"
"88","","","","","","","","","","","","","0","0","0"
"89","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"90","0","0","0","","","","","","","0","0","0","0","0","0"
"91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0","0","0","0","0","0"
"93","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","","","","",""
"94","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","0","0","0","","",""
"95","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","","","","","",""
"96","","","","","","","0","0","0","","","","0","0","0"
"97","","","","0","0","0","0","0","0","0","0","0","","",""
"98","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","","","","","","","0","0","0"
"99","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","","","","",""
"101","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","0","0","0","","",""
"102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"104","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"105","","","","0","0","0","0","0","0","","","","0","0","0"
"106","0","0","0","","","","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"107","0","0","0","0","0","0","0","0","0","","","","0","0","0"
"108","0","0","0","","","","0","0","0","","","","0","0","0"
"109","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"110","","","","","","","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0"
"111","","","","0","0","0","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0"
"112","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0"
"113","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","","","0","0","0","0","0","0"
"114","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0","0","0","0"
"115","","","","","","","0","0","0","0","0","0","0","0","0"
"116","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0","0","0","0","0","0"
"117","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","","","","0","0","0"
"118","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0","","",""
"119","","","","","","","","","","","","","0","0","0"
"120","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","","","","","",""
"121","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"122","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"123","0.0009765625","0.0009765625","0.0009765625","","","","0","0","0","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015"
"124","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015"
"125","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","","","","","","0","0","0","","",""
"126","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","","","","","","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015"
"127","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015"
"128","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","","",""
"129","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","","","0.0009765625","0.0009765625","0.0009765625"
"130","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0","0","0","","","","","",""
"131","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0","0","0","0.0009765625","0.0009765625","0.0009765625"
"132","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"133","","","","","","","0","0","0","","","","0.0009765625","0.0009765625","0.0009765625"
"134","0.0009765625","0.0009765625","0.0009765625","","","","0","0","0","0","0","0","0.0009765625","0.0009765625","0.0009765625"
"135","0.0009765625","0.0009765625","0.0009765625","","","","0","0","0","","","","","",""
"136","","","","0","0","0","","","","0","0","0","","",""
"137","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"138","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","",""
"139","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"140","0.0009765625","0.0009765625","0.0009765625","","","","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"141","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"142","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"143","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"144","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"145","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","","",""
"146","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0","0","0","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"147","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0","0","0","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"148","0.001953125","0.001953125","0.001953125","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0","0","0","","",""
"149","","","","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","","",""
"150","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"151","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"152","","","","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"153","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"154","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"155","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"156","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"157","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"158","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0009765625","0.0009765625","0.0009765625","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.001953125","0.001953125","0.001953125"
"159","0.0009765625","0.0009765625","0.0009765625","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"160","0.0009765625","0.0009765625","0.0009765625","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"161","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","",""
"162","0.0009765625","0.0009765625","0.0009765625","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"163","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"164","0.001953125","0.001953125","0.001953125","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"165","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"166","","","","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0016276042442768812","0.0016276042442768812","0.0016276042442768812"
"167","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"168","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"169","0.001953125","0.001953125","0.001953125","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624"
"170","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"171","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0029296875","0.0029296875","0.0029296875"
"172","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"173","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624"
"174","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.004557291977107525","0.004557291977107525","0.004557291977107525"
"175","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.005859375","0.005859375","0.005859375"
"176","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.005859375","0.005859375","0.005859375"
"177","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"178","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","","","","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.005533854477107525","0.005533854477107525","0.005533854477107525"
"179","0.001953125","0.001953125","0.001953125","0.0009765625","0.0009765625","0.0009765625","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","","",""
"180","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0009765625","0.0009765625","0.0009765625","","",""
"181","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0009765625","0.0009765625","0.0009765625","","","","0.0009765625","0.0009765625","0.0009765625","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624"
"182","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0009765625","0.0009765625","0.0009765625","0.0029296875","0.0029296875","0.0029296875"
"183","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624"
"184","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0029296875","0.0029296875","0.0029296875"
"185","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0029296875","0.0029296875","0.0029296875"
"186","0.0022786459885537624","0.0022786459885537624","0.0022786459885537624","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0029296875","0.0029296875","0.0029296875"
"187","0.001953125","0.001953125","0.001953125","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0035807292442768812","0.0035807292442768812","0.0035807292442768812"
"188","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0009765625","0.0009765625","0.0009765625","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624"
"189","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00390625","0.00390625","0.00390625"
"190","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624"
"191","0.0035807292442768812","0.0035807292442768812","0.0035807292442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00032552084303461015","0.00032552084303461015","0.00032552084303461015","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624"
"192","0.00390625","0.00390625","0.00390625","","","","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","",""
"193","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.00390625","0.00390625","0.00390625"
"194","0.0042317709885537624","0.0042317709885537624","0.0042317709885537624","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","","","","",""
"195","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","","","","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.005533854477107525","0.005533854477107525","0.005533854477107525"
"196","","","","0.0009765625","0.0009765625","0.0009765625","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.0048828125","0.0048828125","0.0048828125"
